vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC    AirDirectVolt
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.95	3.03	770	43.24	20402.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.97	3.05	773	46.23	17958.31	0	0.00
4.97	3.05	773	46.23	17958.31	0	0.00
4.97	3.05	774	45.04	18892.19	0	0.00
4.97	3.05	774	45.04	18892.19	0	0.00
4.99	3.07	777	48.34	16425.87	0	0.00
4.99	3.07	777	48.34	16425.87	0	0.00
5.02	3.09	780	52.28	13948.31	0	0.00
5.02	3.09	780	52.28	13948.31	0	0.00
5.03	3.11	781	55.46	12250.69	0	0.00
5.03	3.10	783	52.06	14072.44	0	0.00
5.03	3.10	783	52.06	14072.44	0	0.00
5.04	3.12	784	55.23	12365.56	0	0.00
5.04	3.12	784	55.23	12365.56	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.05	3.13	785	58.91	10661.44	0	0.00
5.03	3.11	782	53.70	13160.56	0	0.00
5.03	3.11	782	53.70	13160.56	0	0.00
5.02	3.09	780	52.28	13948.31	0	0.00
5.02	3.09	780	52.28	13948.31	0	0.00
4.98	3.06	774	48.57	16268.00	0	0.00
4.98	3.06	774	48.57	16268.00	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.92	3.01	766	41.62	21883.19	0	0.00
4.92	3.01	766	41.62	21883.19	0	0.00
4.90	2.98	763	39.23	24293.12	0	0.00
4.90	2.98	763	39.23	24293.12	0	0.00
4.88	2.96	760	37.09	26689.94	0	0.00
4.88	2.96	760	37.09	26689.94	0	0.00
4.84	2.93	754	35.40	28783.81	0	0.00
4.84	2.93	754	35.40	28783.81	0	0.00
4.83	2.92	753	34.14	30453.69	0	0.00
4.83	2.92	753	34.14	30453.69	0	0.00
4.82	2.91	751	33.66	31131.87	0	0.00
4.78	2.87	745	30.59	35785.19	0	0.00
4.78	2.87	745	30.59	35785.19	0	0.00
4.77	2.86	744	29.61	37448.94	0	0.00
4.77	2.86	744	29.61	37448.94	0	0.00
4.74	2.84	741	28.32	39751.19	0	0.00
4.74	2.84	741	28.32	39751.19	0	0.00
4.73	2.83	738	28.54	39346.56	0	0.00
4.73	2.83	738	28.54	39346.56	0	0.00
4.73	2.83	738	28.54	39346.56	0	0.00
4.73	2.83	738	28.54	39346.56	0	0.00
4.73	2.83	738	28.54	39346.56	0	0.00
4.66	2.76	727	24.89	46664.81	0	0.00
4.66	2.76	727	24.89	46664.81	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.65	2.75	725	24.63	47232.19	0	0.00
4.64	2.75	723	24.38	47790.81	0	0.00
4.64	2.75	723	24.38	47790.81	0	0.00
4.60	2.71	717	22.56	52120.25	0	0.00
4.60	2.71	717	22.56	52120.25	0	0.00
4.57	2.68	712	21.53	54765.75	0	0.00
4.57	2.68	712	21.53	54765.75	0	0.00
4.55	2.66	709	20.74	56871.25	0	0.00
4.55	2.66	709	20.74	56871.25	0	0.00
4.52	2.64	704	19.83	59426.75	0	0.00
4.50	2.63	700	19.52	60337.50	0	0.00
4.50	2.63	700	19.52	60337.50	0	0.00
4.48	2.61	696	19.23	61210.94	0	0.00
4.48	2.61	696	19.23	61210.94	0	0.00
4.47	2.60	695	18.70	62786.25	0	0.00
4.47	2.60	695	18.70	62786.25	0	0.00
4.45	2.58	692	18.07	64773.31	0	0.00
4.45	2.58	692	18.07	64773.31	0	0.00
4.44	2.58	690	17.94	65174.62	0	0.00
4.44	2.58	690	17.94	65174.62	0	0.00
4.41	2.55	683	17.11	67868.62	0	0.00
4.40	2.54	681	17.01	68225.43	0	0.00
4.40	2.54	681	17.01	68225.43	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.37	2.52	676	16.36	70438.93	0	0.00
4.36	2.51	674	16.27	70760.18	0	0.00
4.36	2.51	674	16.27	70760.18	0	0.00
4.34	2.50	670	16.09	71373.87	0	0.00
4.34	2.50	670	16.09	71373.87	0	0.00
4.32	2.48	665	15.51	73444.43	0	0.00
4.32	2.48	665	15.51	73444.43	0	0.00
4.30	2.46	663	14.71	76437.87	0	0.00
4.30	2.46	663	14.71	76437.87	0	0.00
4.26	2.44	655	14.46	77386.62	0	0.00
4.24	2.41	652	13.35	81794.00	0	0.00
4.24	2.41	652	13.35	81794.00	0	0.00
4.23	2.41	650	13.31	81985.31	0	0.00
4.23	2.41	650	13.31	81985.31	0	0.00
4.22	2.40	648	13.26	82165.93	0	0.00
4.22	2.40	648	13.26	82165.93	0	0.00
4.18	2.37	640	12.47	85512.31	0	0.00
4.18	2.37	640	12.47	85512.31	0	0.00
